ID,cluster,cluster.name,hex
53110,2,13,#EEAEEE
53111,2,13,#EEAEEE
53112,7,18,#FF6A6A
53113,6,12,#6959CD
53117,2,13,#EEAEEE
53119,7,18,#FF6A6A
53124,9,17,#EE799F
53127,7,18,#FF6A6A
53299,8,1,#FF3030
53300,10,11,#4876FF
53301,8,1,#FF3030
53302,10,11,#4876FF
53303,10,11,#4876FF
53304,10,11,#4876FF
53307,8,1,#FF3030
53308,10,11,#4876FF
53309,8,1,#FF3030
53323,8,1,#FF3030
53324,10,11,#4876FF
53325,10,11,#4876FF
53326,10,11,#4876FF
53327,11,2,#CD2626
53454,7,18,#FF6A6A
53456,9,17,#EE799F
53472,6,12,#6959CD
53477,6,12,#6959CD
53478,6,12,#6959CD
53479,2,13,#EEAEEE
53483,2,13,#EEAEEE
53656,11,2,#CD2626
53657,11,2,#CD2626
53658,9,17,#EE799F
53659,10,11,#4876FF
53660,8,1,#FF3030
53662,10,11,#4876FF
53666,10,11,#4876FF
53667,10,11,#4876FF
53668,10,11,#4876FF
53669,10,11,#4876FF
53670,10,11,#4876FF
53671,10,11,#4876FF
53672,8,1,#FF3030
53673,10,11,#4876FF
53676,16,10,#6CA6CD
53677,16,10,#6CA6CD
53679,10,11,#4876FF
53680,10,11,#4876FF
53681,10,11,#4876FF
53682,10,11,#4876FF
53683,8,1,#FF3030
53685,10,11,#4876FF
53838,18,14,#9F79EE
53839,18,14,#9F79EE
53840,7,18,#FF6A6A
53844,9,17,#EE799F
54016,11,2,#CD2626
54017,8,1,#FF3030
54018,9,17,#EE799F
54028,10,11,#4876FF
54029,10,11,#4876FF
54030,10,11,#4876FF
54031,10,11,#4876FF
54032,10,11,#4876FF
54033,10,11,#4876FF
54034,10,11,#4876FF
54035,10,11,#4876FF
54036,10,11,#4876FF
54037,8,1,#FF3030
54198,9,17,#EE799F
54199,7,18,#FF6A6A
54200,7,18,#FF6A6A
54201,7,18,#FF6A6A
54202,9,17,#EE799F
54203,6,12,#6959CD
54204,2,13,#EEAEEE
54205,9,17,#EE799F
54206,9,17,#EE799F
54207,9,17,#EE799F
54208,9,17,#EE799F
54374,8,1,#FF3030
54375,11,2,#CD2626
54376,11,2,#CD2626
54389,10,11,#4876FF
54390,10,11,#4876FF
54391,10,11,#4876FF
54392,10,11,#4876FF
54393,10,11,#4876FF
54394,10,11,#4876FF
54558,18,14,#9F79EE
54562,6,12,#6959CD
54735,8,1,#FF3030
54736,10,11,#4876FF
54918,18,14,#9F79EE
54919,18,14,#9F79EE
54922,18,14,#9F79EE
55096,11,2,#CD2626
55097,8,1,#FF3030
55098,8,1,#FF3030
55279,18,14,#9F79EE
55280,18,14,#9F79EE
55281,7,18,#FF6A6A
55282,18,14,#9F79EE
55283,9,17,#EE799F
55454,11,2,#CD2626
55455,10,11,#4876FF
55456,10,11,#4876FF
55457,8,1,#FF3030
55458,8,1,#FF3030
55459,11,2,#CD2626
55597,18,14,#9F79EE
55598,17,15,#B452CD
55599,18,14,#9F79EE
55605,18,14,#9F79EE
55606,18,14,#9F79EE
55641,18,14,#9F79EE
55642,7,18,#FF6A6A
55645,7,18,#FF6A6A
55646,9,17,#EE799F
55812,8,1,#FF3030
55813,11,2,#CD2626
55814,8,1,#FF3030
55957,18,14,#9F79EE
55959,17,15,#B452CD
55962,18,14,#9F79EE
55967,18,14,#9F79EE
