ID,mang_presence,salt_presence,seag_presence
29497,1,0,0
29498,1,0,0
29499,1,0,0
29500,1,0,0
29501,1,0,0
29502,1,0,0
29666,1,0,0
29713,1,0,0
29714,1,0,0
29740,1,0,0
29809,1,0,0
29810,1,0,0
29813,1,0,0
29814,1,0,1
29815,1,0,1
29816,1,0,1
29821,1,0,0
29822,1,0,0
29826,1,0,0
29831,1,0,0
29832,1,0,0
29835,1,0,0
29838,1,0,0
29839,1,0,0
29840,1,0,0
29841,1,0,0
29844,1,0,0
29845,1,0,0
29846,1,0,0
29848,1,0,1
29856,1,0,0
29857,1,0,0
29858,1,0,0
29859,1,0,0
29860,1,0,0
30025,1,0,0
30026,1,0,0
30073,1,0,0
30099,1,0,0
30100,1,0,1
30166,1,0,0
30167,1,0,0
30168,1,0,0
30169,1,0,0
30170,1,0,0
30171,1,0,0
30172,1,0,0
30173,1,0,0
30174,1,0,0
30176,1,0,1
30181,1,0,0
30192,1,0,0
30195,1,0,1
30199,1,0,0
30200,1,0,0
30207,1,0,0
30208,1,0,1
30209,1,0,0
30210,1,0,0
30211,1,0,0
30216,1,0,0
30217,1,0,0
30218,1,0,0
30384,1,0,0
30385,1,0,0
30433,1,0,0
30459,1,0,0
30460,1,0,0
30523,1,0,1
30524,1,0,0
30525,1,0,0
30526,1,0,0
30527,1,0,0
30528,1,0,0
30529,1,0,0
30531,1,0,0
30533,1,0,1
30535,1,0,0
30540,1,0,1
30541,1,0,0
30542,1,0,0
30543,1,0,0
30544,1,0,0
30553,1,0,1
30554,1,0,1
30555,1,0,1
30558,1,0,0
30559,1,0,0
30566,1,0,0
30568,1,0,0
30569,1,0,0
30570,1,0,0
30571,1,0,0
30572,1,0,0
30575,1,0,0
30576,1,0,0
30742,1,0,0
30743,1,0,0
30820,1,0,1
30836,1,0,0
30886,1,0,0
30895,1,0,0
30897,1,0,0
30900,1,0,0
30901,1,0,0
30902,1,0,0
30903,1,0,0
30904,1,0,0
30912,1,0,0
30913,1,0,0
30914,1,0,0
30915,1,0,0
30916,1,0,0
30917,1,0,0
30918,1,0,0
30925,1,0,0
30926,1,0,0
30932,1,0,1
30933,1,0,1
30935,1,0,0
31060,1,1,0
31061,1,0,0
31096,1,0,0
31099,1,0,0
31100,1,0,0
31101,1,0,1
31102,1,0,1
31151,1,0,0
31180,1,0,1
31181,1,0,0
31241,1,0,0
31246,1,0,0
31247,1,0,0
31248,1,0,0
31249,1,0,0
31251,1,0,0
31252,1,0,0
31253,1,0,0
31254,1,0,0
31255,1,0,0
31256,1,0,0
31257,1,0,0
31259,1,0,0
31260,1,0,0
31261,1,0,0
31262,1,0,0
31263,1,0,0
31264,1,0,0
31266,1,0,0
31267,1,0,0
31268,1,0,1
31269,1,0,1
31270,1,0,0
31271,1,0,0
31273,1,0,0
31274,1,0,0
31275,1,0,0
31276,1,0,0
31283,1,0,0
31284,1,0,1
31285,1,0,0
31292,1,0,0
31293,1,0,0
31420,1,0,0
31421,1,0,0
31456,1,0,0
31457,1,0,0
31458,1,0,0
31459,1,0,0
31460,1,0,0
31461,1,0,0
31510,1,0,0
31541,1,0,0
31542,1,0,0
31600,1,0,0
31601,1,0,0
31602,1,0,0
31605,1,0,0
31606,1,0,0
31607,1,0,0
31608,1,0,0
31609,1,0,0
31611,1,0,0
31612,1,0,0
31613,1,0,0
31614,1,0,0
31617,1,0,0
31619,1,0,0
31620,1,0,0
31621,1,0,0
31622,1,0,0
31623,1,0,0
31624,1,0,0
31625,1,0,0
31626,1,0,1
31627,1,0,1
31628,1,0,0
31629,1,0,0
31630,1,0,0
31631,1,0,0
31633,1,0,0
31634,1,0,0
31635,1,0,1
31636,1,0,0
31637,1,0,0
31638,1,0,0
31640,1,0,0
31641,1,0,0
31643,1,0,0
31647,1,0,0
31648,1,0,0
31651,1,0,1
31652,1,0,1
31653,1,0,0
31769,1,0,0
31812,1,0,0
31814,1,0,0
31815,1,0,0
31816,1,0,0
31869,1,0,0
31870,1,0,0
31901,1,0,0
31902,1,0,0
31959,1,0,0
31960,1,0,0
31961,1,0,0
31964,1,0,0
31965,1,0,0
31966,1,0,0
31969,1,0,0
31970,1,0,0
31971,1,0,0
31977,1,0,0
31980,1,0,0
31981,1,0,0
31982,1,0,0
31983,1,0,0
31984,1,0,0
31985,1,0,0
31986,1,0,1
31987,1,0,1
31988,1,0,0
31989,1,0,0
31990,1,0,0
31991,1,0,0
31992,1,0,1
31993,1,0,0
31995,1,0,0
31996,1,0,0
31997,1,0,0
31998,1,0,0
31999,1,0,0
32007,1,0,0
32008,1,0,0
32010,1,0,0
